task,evasion_attack,detection_method,auroc,auroc_ci_lower,auroc_ci_upper,tpr_at_1pct_fpr,fpr0,student_lineage
ARC-Challenge,Style Rewrite,CML+MTCR,0.949,0.935,0.963,0.926,0.012,Llama-3.1-8B
ARC-Challenge,Temperature/Top-p,Base-Relative,0.521,0.502,0.54,0.019,0.818,Qwen2.5-7B
ARC-Challenge,Temperature/Top-p,Base-Relative,0.52,0.501,0.539,0.019,0.818,Llama-3.1-8B
ARC-Challenge,Temperature/Top-p,CML+MTCR,0.977,0.963,0.991,0.966,0.009,Qwen2.5-7B
ARC-Challenge,Temperature/Top-p,CML+MTCR,0.976,0.962,0.99,0.965,0.009,Llama-3.1-8B
ARC-Challenge,Mixed Traces (50%),Base-Relative,0.505,0.486,0.524,0.013,0.836,Qwen2.5-7B
ARC-Challenge,Mixed Traces (50%),Base-Relative,0.504,0.485,0.523,0.012,0.836,Llama-3.1-8B
ARC-Challenge,Mixed Traces (50%),CML+MTCR,0.939,0.925,0.953,0.914,0.016,Qwen2.5-7B
ARC-Challenge,Mixed Traces (50%),CML+MTCR,0.938,0.924,0.952,0.913,0.016,Llama-3.1-8B
ARC-Challenge,Low-Score Selection,Base-Relative,0.51,0.491,0.529,0.014,0.83,Qwen2.5-7B
ARC-Challenge,Low-Score Selection,Base-Relative,0.51,0.491,0.529,0.014,0.83,Llama-3.1-8B
ARC-Challenge,Low-Score Selection,CML+MTCR,0.956,0.942,0.97,0.932,0.012,Qwen2.5-7B
ARC-Challenge,Low-Score Selection,CML+MTCR,0.955,0.941,0.969,0.931,0.012,Llama-3.1-8B
MBPP,Identity SFT (Naive),Base-Relative,0.519,0.5,0.538,0.019,0.819,Qwen2.5-7B
MBPP,Identity SFT (Naive),Base-Relative,0.519,0.5,0.538,0.019,0.819,Llama-3.1-8B
MBPP,Identity SFT (Naive),CML+MTCR,0.978,0.964,0.992,0.973,0.011,Qwen2.5-7B
MBPP,Identity SFT (Naive),CML+MTCR,0.977,0.963,0.991,0.972,0.011,Llama-3.1-8B
MBPP,Paraphrase Rewrite,Base-Relative,0.51,0.491,0.529,0.016,0.825,Qwen2.5-7B
MBPP,Paraphrase Rewrite,Base-Relative,0.51,0.491,0.529,0.016,0.825,Llama-3.1-8B
MBPP,Paraphrase Rewrite,CML+MTCR,0.964,0.95,0.978,0.949,0.013,Qwen2.5-7B
MBPP,Paraphrase Rewrite,CML+MTCR,0.963,0.949,0.977,0.949,0.013,Llama-3.1-8B
MBPP,Answer-Only SFT,Base-Relative,0.492,0.473,0.511,0.008,0.865,Qwen2.5-7B
MBPP,Answer-Only SFT,Base-Relative,0.491,0.472,0.51,0.008,0.865,Llama-3.1-8B
MBPP,Answer-Only SFT,CML+MTCR,0.931,0.917,0.945,0.894,0.016,Qwen2.5-7B
MBPP,Answer-Only SFT,CML+MTCR,0.93,0.916,0.944,0.894,0.016,Llama-3.1-8B
MBPP,CoT Compression,Base-Relative,0.504,0.485,0.523,0.013,0.831,Qwen2.5-7B
MBPP,CoT Compression,Base-Relative,0.504,0.485,0.523,0.013,0.831,Llama-3.1-8B
MBPP,CoT Compression,CML+MTCR,0.957,0.943,0.971,0.937,0.014,Qwen2.5-7B
MBPP,CoT Compression,CML+MTCR,0.956,0.942,0.97,0.936,0.014,Llama-3.1-8B
MBPP,Style Rewrite,Base-Relative,0.499,0.48,0.518,0.009,0.843,Qwen2.5-7B
MBPP,Style Rewrite,Base-Relative,0.499,0.48,0.518,0.01,0.843,Llama-3.1-8B
MBPP,Style Rewrite,CML+MTCR,0.944,0.93,0.958,0.92,0.015,Qwen2.5-7B
MBPP,Style Rewrite,CML+MTCR,0.943,0.929,0.957,0.919,0.015,Llama-3.1-8B
MBPP,Temperature/Top-p,Base-Relative,0.518,0.499,0.537,0.018,0.821,Qwen2.5-7B
MBPP,Temperature/Top-p,Base-Relative,0.517,0.498,0.536,0.017,0.821,Llama-3.1-8B
MBPP,Temperature/Top-p,CML+MTCR,0.971,0.957,0.985,0.958,0.012,Qwen2.5-7B
MBPP,Temperature/Top-p,CML+MTCR,0.97,0.956,0.984,0.958,0.012,Llama-3.1-8B
MBPP,Mixed Traces (50%),Base-Relative,0.501,0.482,0.52,0.012,0.839,Qwen2.5-7B
MBPP,Mixed Traces (50%),Base-Relative,0.501,0.482,0.52,0.012,0.839,Llama-3.1-8B
MBPP,Mixed Traces (50%),CML+MTCR,0.933,0.919,0.947,0.906,0.019,Qwen2.5-7B
MBPP,Mixed Traces (50%),CML+MTCR,0.932,0.918,0.946,0.905,0.019,Llama-3.1-8B
MBPP,Low-Score Selection,Base-Relative,0.508,0.489,0.527,0.014,0.833,Qwen2.5-7B
MBPP,Low-Score Selection,Base-Relative,0.507,0.488,0.526,0.014,0.833,Llama-3.1-8B
MBPP,Low-Score Selection,CML+MTCR,0.95,0.936,0.964,0.925,0.015,Qwen2.5-7B
MBPP,Low-Score Selection,CML+MTCR,0.949,0.935,0.963,0.923,0.015,Llama-3.1-8B
